filename,AU_last,year,journal,journal_type,article_type,host,host_taxonomy,age_measure,levels_in_age_category,parasite_species,parasite_type,parasite_taxonomy,other_drivers_parasitism,is_age_primary_focus?,type of age~parasite relationship
Madslien_et_al_2020,Madslien,2020,Journal of Wildlife Diseases,disease,empirical,Alces_alces,mammal,categorical,3,Lipoptena_cervi,hematophagous,ectoparasite,hair_cortisol_concentration,no,non-linear
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Aloutta_palliata,mammal,categorical,2,Controrchis_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Aloutta_palliata,mammal,categorical,2,Trypanoxyuris_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Aloutta_palliata,mammal,categorical,2,Strongyloides_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Ateles_geoffroyi,mammal,categorical,2,Controrchis_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Ateles_geoffroyi,mammal,categorical,2,Trypanoxyuris_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Maldonado_Lopez_et_al_2014,Maldonado-Lopez,2014,Primates,general biology,empirical,Ateles_geoffroyi,mammal,categorical,2,Strongyloides_sp,intestinal_parasite,endoparasite,reproductive_state,yes,non-significant
Marin_Vial_et_al_2007,Marin-Vial,2007,European Journal of Wildlife Research,general biology,empirical,Dromiciops_gliroides,mammal,categorical,2,Ixodes_neuquenensis,flea,ectoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Heligmosomum_sp,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Strongyloides_myopotami,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Trichuris_myocastoris,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Capillaria_hepatica,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Tricostrongylus_colubriformis,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Trichinella_spp,nematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Rodentolepis_avetjanae,cestode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Hyminolepis_octocoronata,cestode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Anaplocephala_sp,cestode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Dicrocoelium_lanceolatum,trematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Dicrocoelium_sp,trematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Fasciola_hepatica,trematode,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Cryptosporidium_spp,sporozoa,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Giardia_spp,sporozoa,endoparasite,sex_and_age,yes,non-significant
Martino_et_al_2012,Martino,2012,Insititute of Parasitology,parasitology,empirical,Myocastor_coypus,mammal,categorical,2,Coccidia,sporozoa,endoparasite,sex_and_age,yes,non-significant
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Alaeuris_travassosi,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Atractive_mega,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Oswaldocruzia_sp,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Ozolaimus_monhystera,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Ozolaimus_megatyphlon,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Nyctotherus_sp,endoparasite,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,Entamoeba_sp,endoparasite,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,trophozoites,protozoa,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,trichomonad_trophozoites,protozoa,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,oxyruid,nematode,endoparasite,captive_vs_wild,yes,non-linear
Maurer_et_al_2020,Maurer,2020,Journal of Zoo and Widlife Medicine,disease,empirical,Cyclura_lewisi,reptile/amphibian,categorical,2,trichostrongylid_eggs,nematode,endoparasite,captive_vs_wild,yes,non-linear
Meeus_et_al_1995,Meeus,1995,Acta Ecologica,general biology,empirical,Psetta_maxima,fish,continuous,,Lepeophtheirus_thompsoni,copepod,ectoparasite,anatomy,yes,negative
Meeus_et_al_1995,Meeus,1995,Acta Ecologica,general biology,empirical,Scophthalmus_rhombus,fish,continuous,,Lepeophtheirus_europaensis,copepod,ectoparasite,anatomy,yes,positive
Meeus_et_al_1995,Meeus,1995,Acta Ecologica,general biology,empirical,Platichthys_flesus,fish,continuous,,Lepeophtheirus_europaensis,copepod,ectoparasite,anatomy,yes,positive
Milton_1996,Milton,1996,Zoological Society of London,general biology,empirical,Aloutta_palliata,mammal,categorical,4,Alouattanmyia_baeri,botfly,ectoparasite,troop_size,yes,non-linear
Moller_&_DeLope_1999,Moller,1999,Journal of Animal Ecology,ecology,empirical,Hirundo_rustica_L,bird,continuous,,Hirundoecus_malleus_L,lice,ectoparasite,migration_and_reproduction,yes,non-linear
Moller_&_DeLope_1999,Moller,1999,Journal of Animal Ecology,ecology,empirical,Hirundo_rustica_L,bird,continuous,,Ornithonyssus_bursa,mite,ectoparasite,migration_and_reproduction,yes,non-linear
Monello_&_Gompper_2009,Monello,2009,Journal of Parasitology,parasitology,empirical,Procyon_lotor,mammal,continuous,,Trichodectes_octomaculatus,lice,ectoparasite,social_aggregation,yes,non-significant
Monello_&_Gompper_2009,Monello,2009,Journal of Parasitology,parasitology,empirical,Procyon_lotor,mammal,continuous,,Orchopeas_howardi,flea,ectoparasite,social_aggregation,yes,non-significant
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Eimeria_nutalli,apicomplexan,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Placoconus_lotoris,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Molineus_barbatus,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Eimeria_procyonis,apicomplexan,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Baylisascaris_procyonis,nematode,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Capillaria_procyonis,nematode,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Capillaria_puttori,nematode,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Eurytrema_procyonis,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Capillaria_plica,nematode,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Crenosoma_spp,lungworm,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Physaloptera_spp,nematode,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Atriotaenia_procyonis,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Macracanthorhynchus_ingens,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Cruzia_spp,endoparasite,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Sarcocystis_spp,protozoa,endoparasite,social_aggregation,yes,non-linear
Monello_&_Gompper_2011,Monello,2011,Oikos,general biology,empirical,Procyon_lotor,mammal,categorical,4,Alaria_spp,trematode,endoparasite,social_aggregation,yes,non-linear
Mugabo_et_al_2015,Mugabo,2015,Ecology,ecology,empirical,Zootoca_vivipara,reptile/amphibian,categorical,3,Ixodes_ricinus,tick,ectoparasite,host_density,yes,non-linear
Naseem_et_al_2020,Naseem,2020,International Journal of Acarology,general biology,empirical,Bubalus_bubalis,mammal,categorical,2,Rhipiephalus_microplus,tick,ectoparasite,site,yes,negative
Naseem_et_al_2020,Naseem,2020,International Journal of Acarology,general biology,empirical,Bubalus_bubalis,mammal,categorical,2,Hyalomma_anatolicum_anatolicum,tick,ectoparasite,site,yes,negative
Navock_et_al_2019,Navock,2019,Ornithological Advances,general biology,empirical,Athene_cunicularia_hypugaea,bird,categorical,2,Pulex_irritans,flea,ectoparasite,migration,yes,non-significant
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Eimeria_muta,coccidian,endoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Capillaria_caudinflata,nematode,endoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Trichostrongylus_tenuis,nematode,endoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Tetraolichus_lagopi,mite,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Strelkoviacarus_holoaspis,mite,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Metamicrolichus_islandicus,mite,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Myialges_borealis,mite,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Mironovia_lagopus,mite,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Goniodes_lagopi,lice,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Lagopoecus_affinis,lice,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Amyrsidea_lagopi,lice,ectoparasite,sex_and_age,yes,non-linear
Nielsen_et_al_2020,Nielsen,2020,Journal of Avian Biology,general biology,empirical,Lagopus_muta,bird,categorical,2,Ornithomya_chloropus,louse_fly,ectoparasite,sex_and_age,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Carduelis_chloris,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Carduelis_chloris,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Certhia_brachydactyla,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Certhia_brachydactyla,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Cetia_cetti,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Cetia_cetti,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Cyanistes_caeruleus,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Cyanistes_caeruleus,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Erithacus_rubecula,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Erithacus_rubecula,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Fringilla_coelebs,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Fringilla_coelebs,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Parus_major,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Parus_major,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sylvia_atricapilla,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sylvia_atricapilla,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sylvia_melanocephala,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sylvia_melanocephala,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Troglodytes_troglodytes,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Troglodytes_troglodytes,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Turdus_merula,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Turdus_merula,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Turdus_philomelos,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Turdus_philomelos,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Regulus_ignicapillus,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Regulus_ignicapillus,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Serinus_serinus,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Serinus_serinus,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sitta_europaea,bird,continuous,,Ixodes_ricinus,tick,ectoparasite,physiological,yes,non-linear
Norte_et_al_2013,Norte,2013,Parasitology Research,parasitology,empirical,Sitta_europaea,bird,continuous,,Ixodes_frontalis,tick,ectoparasite,physiological,yes,non-linear
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Laelaps_nuttali,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Laelaps_echidninus,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Ornithonyssus_bacoti,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Laelaps_sculpturatus,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Polyplax_spinulosa,lice,ectoparasite,season,no,non-linear
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Hoplopleura_pacifica,lice,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Ixodes_granulatus,tick,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Nippostrongylus_brasiliensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Heterakis_spumosa,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Angiostrongylus_malaysiensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Taenia_taeniaformis,cestode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Hymenolepis_diminuta,cestode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Mastophorus_muris,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Syphacia_muris,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_tiomanicus,mammal,categorical,2,Hepatojarakus_malayae,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Laelaps_nuttali,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Laelaps_echidninus,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Ornithonyssus_bacoti,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Laelaps_sculpturatus,mite,ectoparasite,season,no,non-linear
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Polyplax_spinulosa,lice,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Hoplopleura_pacifica,lice,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Ixodes_granulatus,tick,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Nippostrongylus_brasiliensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Heterakis_spumosa,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Angiostrongylus_malaysiensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Taenia_taeniaformis,cestode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Hymenolepis_diminuta,cestode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Mastophorus_muris,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Syphacia_muris,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_rattus_diardii,mammal,categorical,2,Hepatojarakus_malayae,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Laelaps_nuttali,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Laelaps_echidninus,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Ornithonyssus_bacoti,mite,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Laelaps_sculpturatus,mite,ectoparasite,season,no,non-linear
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Polyplax_spinulosa,lice,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Hoplopleura_pacifica,lice,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Ixodes_granulatus,tick,ectoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Nippostrongylus_brasiliensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Heterakis_spumosa,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Angiostrongylus_malaysiensis,nematode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Taenia_taeniaformis,cestode,endoparasite,season,no,non-significant
Nursyazana_et_al_2013,Nursyazana,2013,Tropical Biomedicine,disease,empirical,Rattus_argentiventer,mammal,categorical,2,Hymenolepis_diminuta,cestode,endoparasite,season,no,non-significant
